소분류,세부분류,업체명,주소,전화번호,사업자등록일,업데이트일,정제주소
일반음식점,경양식,마초스테이크 송도직영점,"인천광역시 연수구 송도과학로16번길 33-3, 송도 트리플스트리트 C동 지상1층 110호 (송도동) ", ,2025-07-09,2025-07-11 04:10:55,인천광역시 연수구 송도과학로16번길 33-3 송도 트리플스트리트 C동 지상1층 110호 (송도동)
일반음식점,김밥(도시락),참김밥(명인),"인천광역시 연수구 하모니로 124, 송도타운 111호 (송도동) ",032-833-7874 ,2025-07-09,2025-07-11 04:10:55,인천광역시 연수구 하모니로 124 송도타운 111호 (송도동)
일반음식점,식육(숯불구이),우가든 참숯소갈비연수점,"인천광역시 연수구 샘말로 37-4, 1층 (연수동) ", ,2025-07-09,2025-07-11 04:10:55,인천광역시 연수구 샘말로 37-4/1층 (연수동)
일반음식점,일식,미스터타코야끼&닭꼬치,"인천광역시 계양구 효서로 62, 굿모닝타운 1층 102호 (효성동) ", ,2025-07-08,2025-07-10 04:12:10,인천광역시 계양구 효서로 62 굿모닝타운 1층 102호 (효성동)
일반음식점,기타,빅포1982(계양구청점),"인천광역시 계양구 계산새로 71, 하이베라스 C동 1층 106호 (계산동) ", ,2025-07-08,2025-07-10 04:12:10,인천광역시 계양구 계산새로 71 하이베라스 C동 1층 106호 (계산동)
일반음식점,한식,샤브올데이 부평오거리점,"인천광역시 부평구 장제로 140, 2층 (부평동, 삼성디지털프라자) ", ,2025-07-08,2025-07-10 04:12:07,인천광역시 부평구 장제로 140/2층 (부평동 삼성디지털프라자)
일반음식점,중국식,미스터용차이나버거 부평점,"인천광역시 부평구 부평문화로106번길 42, 포레스턴 1층 109호 (부평동) ", ,2025-07-08,2025-07-10 04:12:07,인천광역시 부평구 부평문화로106번길 42 포레스턴 1층 109호 (부평동)
일반음식점,기타,이자리에,"인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 지하 1층 일부호 (관교동) ", ,2025-07-08,2025-07-10 04:11:53,인천광역시 미추홀구 연남로 35 인천종합터미널 롯데백화점 지하 1층 (관교동)
일반음식점,일식,히카루(ひかる),"인천광역시 남동구 남촌동로25번길 4, 1층 일부호 (남촌동) ", ,2025-07-08,2025-07-10 04:11:49,인천광역시 남동구 남촌동로25번길 4/1층 (남촌동)
일반음식점,식육(숯불구이),꾸석지돌판한우 인천논현점,"인천광역시 남동구 논현남로18번길 9-1, 1층 (논현동) ", ,2025-07-08,2025-07-10 04:11:47,인천광역시 남동구 논현남로18번길 9-1/1층 (논현동)
일반음식점,경양식,피자담다,"인천광역시 남동구 하촌로 28-24, 1층 일부호 (만수동) ", ,2025-07-08,2025-07-10 04:11:47,인천광역시 남동구 하촌로 28-24/1층 (만수동)
일반음식점,식육(숯불구이),도투,"인천광역시 남동구 구월말로115번길 22, 엘림 어린이집 1층 (만수동) ", ,2025-07-08,2025-07-10 04:11:47,인천광역시 남동구 구월말로115번길 22 엘림 어린이집 1층 (만수동)
일반음식점,기타,부산대원어묵,"인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 지하1층 팝업스토어호 (관교동) ", ,2025-07-08,2025-07-10 04:11:42,인천광역시 미추홀구 연남로 35 인천종합터미널 롯데백화점 지하1층 팝업스토어호 (관교동)
일반음식점,호프/통닭,씨엠피치킨,"인천광역시 미추홀구 석정로324번길 4, 1층 (도화동) ", ,2025-07-08,2025-07-10 04:11:42,인천광역시 미추홀구 석정로324번길 4/1층 (도화동)
일반음식점,경양식,와인기대,"인천광역시 연수구 센트럴로 313, 송도씨워크인테라스한라 지상2층 B250호 (송도동) ", ,2025-07-08,2025-07-10 04:11:14,인천광역시 연수구 센트럴로 313 송도씨워크인테라스한라 지상2층 B250호 (송도동)
일반음식점,한식,안주가 인천검암점,"인천광역시 서구 한들로 33, 로열아내스애비뉴 1동 B101호,B102호 (백석동, 검암역로열파크씨티푸르지오1단지) ", ,2025-07-08,2025-07-10 04:10:52,인천광역시 서구 한들로 33 로열아내스애비뉴 1동 B101호 B102호 (백석동 검암역로열파크씨티푸르지오1단지)
일반음식점,경양식,자연도 파스타 바,"인천광역시 중구 운중로 13-6, 1층 일부 좌측호 (운남동) ", ,2025-07-07,2025-07-09 04:11:37,인천광역시 중구 운중로 13-6/1층 (운남동)
일반음식점,한식,부산돼지국밥,"인천광역시 서구 청라라임로122번길 3-10, 1층 일부호 (청라동) ", ,2025-07-07,2025-07-09 04:11:30,인천광역시 서구 청라라임로122번길 3-10/1층 (청라동)
일반음식점,한식,명가백반,"인천광역시 서구 석곶로 2, 형제빌딩 1층 일부호 (가정동) ", ,2025-07-07,2025-07-09 04:11:30,인천광역시 서구 석곶로 2 형제빌딩 1층 (가정동)
